key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
#,Name,Bg,BattalionMode,PlaceName{Region},PlaceName{Zone},PlaceName,Map,LoadingImage,ExclusiveType,TerritoryIntendedUse,ContentFinderCondition,,WeatherRate,,,PCSearch,Stealth,Mount,,BGM,PlaceName{Region}Icon,PlaceNameIcon,ArrayEventHandler,QuestBattle,Aetheryte,FixedTime,Resident,AchievementIndex,IsPvpZone,ExVersion,,,,MountSpeed,,,,,,,,,,,,
int32,str,str,byte,PlaceName,PlaceName,PlaceName,Map,LoadingImage,byte,TerritoryIntendedUse,ContentFinderCondition,bit&01,byte,bit&02,byte,bit&04,bit&08,bit&10,bit&20,Row,Image,Image,ArrayEventHandler,QuestBattle,Aetheryte,int32,uint16,sbyte,bit&40,ExVersion,byte,byte,byte,MountSpeed,bit&80,bit&01,byte,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,uint16,bit&80,bit&01
1,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
2,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
3,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
4,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
5,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
6,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
7,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
8,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
9,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
10,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
11,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
12,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
13,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
14,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
15,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
16,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
17,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
18,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
19,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
20,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
21,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
22,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
24,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
25,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
26,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
27,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
28,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
29,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
30,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
31,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,"라노시아","림사 로민사","림사 로민사 상층 갑판","s1t1/01","LoadingImage#2",0,"TerritoryIntendedUse#0","",False,14,True,0,True,False,False,False,"BGMSituation#1020",,,"ArrayEventHandler#852085","QuestBattle#0","림사 로민사 하층 갑판",-1,0,0,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,"라노시아","림사 로민사","림사 로민사 하층 갑판","s1t2/01","LoadingImage#2",0,"TerritoryIntendedUse#0","",False,15,True,0,True,False,False,False,"BGMSituation#1020",,,"ArrayEventHandler#852088","QuestBattle#0","림사 로민사 하층 갑판",-1,0,1,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,"다날란","울다하","울다하 날 회랑","w1t1/01","LoadingImage#4",0,"TerritoryIntendedUse#0","",False,7,True,0,True,False,False,False,"BGMSituation#1035",,,"ArrayEventHandler#852086","QuestBattle#0","울다하 날 회랑",-1,0,2,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,"다날란","울다하","울다하 달 회랑","w1t2/01","LoadingImage#4",0,"TerritoryIntendedUse#0","",False,8,True,0,True,False,False,False,"BGMSituation#1035",,,"ArrayEventHandler#853381","QuestBattle#0","울다하 날 회랑",-1,0,3,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,"검은장막 숲","그리다니아","그리다니아 신시가지","f1t1/00","LoadingImage#3",0,"TerritoryIntendedUse#0","",False,1,True,0,True,False,False,False,"BGMSituation#1003",,,"ArrayEventHandler#852087","QuestBattle#0","그리다니아 신시가지",-1,2,4,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,"검은장막 숲","그리다니아","그리다니아 구시가지","f1t2/00","LoadingImage#3",0,"TerritoryIntendedUse#0","",False,2,True,0,True,False,False,False,"BGMSituation#1003",,,"ArrayEventHandler#852103","QuestBattle#0","그리다니아 신시가지",-1,0,5,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,"라노시아","라노시아","중부 라노시아","s1f1/00","LoadingImage#2",0,"TerritoryIntendedUse#1","",False,16,False,0,True,True,True,False,"BGMSituation#1021",,,"ArrayEventHandler#852316","QuestBattle#0","여름여울 농장",-1,0,6,False,"신생 에오르제아",0,0,19,"클라크시오의 다짐",False,True,0,False,False,False,False,False,True,1,False,False
135,"s1f2","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,"라노시아","라노시아","저지 라노시아","s1f2/00","LoadingImage#2",0,"TerritoryIntendedUse#1","",False,17,False,0,True,True,True,False,"BGMSituation#1021",,,"ArrayEventHandler#853721","QuestBattle#0","모라비 조선소",-1,0,7,False,"신생 에오르제아",0,0,19,"클라크시오의 다짐",False,True,0,False,False,False,False,False,True,2,False,False
136,"s1h1_test","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,"라노시아","라노시아","안갯빛 마을","s1h1/01","LoadingImage#2",0,"TerritoryIntendedUse#0","",False,14,False,0,False,False,False,False,"BGMSituation#1083",,,,"QuestBattle#0","림사 로민사 하층 갑판",-1,0,8,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
137,"s1f3","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,"라노시아","라노시아","동부 라노시아","s1f3/01","LoadingImage#2",0,"TerritoryIntendedUse#1","",False,18,False,0,True,True,True,False,"BGMSituation#1021",,,"ArrayEventHandler#853427","QuestBattle#0","코스타 델 솔",-1,0,9,False,"신생 에오르제아",0,67,19,"바다영웅단이여 영원하라",False,True,0,False,False,False,False,False,True,3,False,False
138,"s1f4","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,"라노시아","라노시아","서부 라노시아","s1f4/00","LoadingImage#2",0,"TerritoryIntendedUse#1","",False,19,False,0,True,True,True,False,"BGMSituation#1021",,,"ArrayEventHandler#852317","QuestBattle#0","칼새횃대 개척지",-1,0,10,False,"신생 에오르제아",0,0,19,"광기 어린 노랫소리",False,True,0,False,False,False,False,False,True,4,False,False
139,"s1f5","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,"라노시아","라노시아","고지 라노시아","s1f5/00","LoadingImage#2",0,"TerritoryIntendedUse#1","",False,20,False,0,True,True,True,False,"BGMSituation#1021",,,,"QuestBattle#0","청동호수 야영지",-1,0,11,False,"신생 에오르제아",0,0,19,"격노한 바위신 타이탄",False,True,0,False,False,False,False,False,True,5,False,False
140,"w1f1","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,"다날란","다날란","서부 다날란","w1f1/00","LoadingImage#4",0,"TerritoryIntendedUse#1","",False,9,False,0,True,True,True,False,"BGMSituation#1036",,,"ArrayEventHandler#852089","QuestBattle#0","지평선 관문",-1,0,12,False,"신생 에오르제아",0,0,19,"클라크시오의 다짐",False,True,0,False,False,False,False,False,True,6,False,False
141,"w1f2","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,"다날란","다날란","중부 다날란","w1f2/00","LoadingImage#4",0,"TerritoryIntendedUse#1","",False,10,False,0,True,True,True,False,"BGMSituation#1036",,,"ArrayEventHandler#852111","QuestBattle#0","검은솔 정류소",-1,0,13,False,"신생 에오르제아",0,0,19,"클라크시오의 다짐",False,True,0,False,False,False,False,False,True,7,False,False
142,"w1d7_battle","ffxiv/wil_w1/dun/w1d7/level/w1d7",1,"다날란","다날란","할라탈리 수련장","default/00","LoadingImage#4",2,"TerritoryIntendedUse#10","아마지나배 투기대회 결승전",False,0,False,0,True,False,False,False,"BGMSituation#1001",,,,"QuestBattle#0","",-1,68,-1,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
143,"","",0,"","","","","LoadingImage#0",0,"TerritoryIntendedUse#0","",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"신생 에오르제아",0,0,0,"",False,False,0,False,False,False,False,False,False,0,False,False
144,"w1eb","ffxiv/wil_w1/evt/w1eb/level/w1eb",1,"다날란","골드 소서","골드 소서","w1eb/00","LoadingImage#4",0,"TerritoryIntendedUse#23","",False,0,False,0,True,False,False,False,"BGMSituation#1143",,,"ArrayEventHandler#854311","QuestBattle#0","골드 소서",-1,77,-1,False,"신생 에오르제아",0,0,0,"",False,True,0,False,False,False,False,False,True,0,False,False
145,"w1f3","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,"다날란","다날란","동부 다날란","w1f3/00","LoadingImage#4",0,"TerritoryIntendedUse#1","",False,11,False,0,True,True,True,False,"BGMSituation#1036",,,"ArrayEventHandler#853019","QuestBattle#0","마른뼈 야영지",-1,0,14,False,"신생 에오르제아",0,0,19,"먼 곳에서 찾아온 자",False,True,0,False,False,False,False,False,True,8,False,False
146,"w1f4","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,"다날란","다날란","남부 다날란","w1f4/01","LoadingImage#4",0,"TerritoryIntendedUse#1","",False,12,False,0,True,True,True,False,"BGMSituation#1036",,,"ArrayEventHandler#852388","QuestBattle#0","리틀 알라미고",-1,0,15,False,"신생 에오르제아",0,38,19,"웰윅 지렁이 살코기",False,True,0,False,False,False,False,False,True,9,False,False
147,"w1f5","ffxiv/wil_w1/fld/w1f5/level/w1f5",1,"다날란","다날란","북부 다날란","w1f5/00","LoadingImage#4",0,"TerritoryIntendedUse#1","",False,13,False,0,True,True,True,False,"BGMSituation#1036",,,"ArrayEventHandler#852014","QuestBattle#0","푸른안개 야영지",-1,0,16,False,"신생 에오르제아",0,0,19,"알테마 웨폰 파괴작전",False,True,0,False,False,False,False,False,True,10,False,False
148,"f1f1","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,"검은장막 숲","검은장막 숲","검은장막 숲 중부삼림","f1f1/00","LoadingImage#3",0,"TerritoryIntendedUse#1","",False,3,False,0,True,True,True,False,"BGMSituation#1004",,,"ArrayEventHandler#852246","QuestBattle#0","굽은가지 목장",-1,0,17,False,"신생 에오르제아",0,0,19,"클라크시오의 다짐",False,True,0,False,False,False,False,False,True,11,False,False
