key,0,1,2,3,4,5,6
#,Icon,Name,Description,,,,
int32,Image,str,str,str,str,str,str
0,,"●설명용 날씨","●하겠습니다","●하겠으며","●했다가","●해지겠으며","●해지겠습니다"
1,"ui/icon/060000/060201.tex","쾌청","쾌청하겠습니다","쾌청하겠으며","쾌청했다가","쾌청해지겠으며","쾌청해지겠습니다"
2,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
3,"ui/icon/060000/060203.tex","흐림","흐리겠습니다","흐리겠으며","흐렸다가","흐려지겠으며","흐려지겠습니다"
4,"ui/icon/060000/060204.tex","안개","안개가 끼겠습니다","안개가 끼겠으며","안개가 꼈다가","안개가 끼겠으며","안개가 끼겠습니다"
5,"ui/icon/060000/060205.tex","바람","바람이 불겠습니다","바람이 불겠으며","바람이 불었다가","바람이 불겠으며","바람이 불겠습니다"
6,"ui/icon/060000/060206.tex","폭풍","폭풍이 불겠습니다","폭풍이 불겠으며","폭풍이 불었다가","폭풍이 불겠으며","폭풍이 불겠습니다"
7,"ui/icon/060000/060207.tex","비","비가 내리겠습니다","비가 내리겠으며","비가 내렸다가","비가 내리겠으며","비가 내리겠습니다"
8,"ui/icon/060000/060208.tex","폭우","폭우가 쏟아지겠습니다","폭우가 쏟아지겠으며","폭우가 쏟아졌다가","폭우가 쏟아지겠으며","폭우가 쏟아지겠습니다"
9,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
10,"ui/icon/060000/060210.tex","뇌우","뇌우가 퍼붓겠습니다","뇌우가 퍼붓겠으며","뇌우가 퍼붓다가","뇌우가 퍼붓겠으며","뇌우가 퍼붓겠습니다"
11,"ui/icon/060000/060211.tex","모래먼지","모래먼지가 일겠습니다","모래먼지가 일겠으며","모래먼지가 일었다가","모래먼지가 일겠으며","모래먼지가 일겠습니다"
12,"ui/icon/060000/060212.tex","모래폭풍","모래폭풍이 불겠습니다","모래폭풍이 불겠으며","모래폭풍이 불었다가","모래폭풍이 불겠으며","모래폭풍이 불겠습니다"
13,"ui/icon/060000/060213.tex","열파","열파가 발생하겠습니다","열파가 발생하겠으며","열파가 발생했다가","열파가 발생하겠으며","열파가 발생하겠습니다"
14,"ui/icon/060000/060214.tex","작열파","작열파가 발생하겠습니다","작열파가 발생하겠으며","작열파가 발생했다가","작열파가 발생하겠으며","작열파가 발생하겠습니다"
15,"ui/icon/060000/060215.tex","눈","눈이 내리겠습니다","눈이 내리겠으며","눈이 내렸다가","눈이 내리겠으며","눈이 내리겠습니다"
16,"ui/icon/060000/060216.tex","눈보라","눈보라가 치겠습니다","눈보라가 치겠으며","눈보라가 쳤다가","눈보라가 치겠으며","눈보라가 치겠습니다"
17,"ui/icon/060000/060218.tex","요마의 안개","요마의 안개가 끼겠습니다","요마의 안개가 끼겠으며","요마의 안개가 꼈다가","요마의 안개가 끼겠으며","요마의 안개가 끼겠습니다"
18,"ui/icon/060000/060217.tex","오로라","오로라가 나타나겠습니다","오로라가 나타나겠으며","오로라가 나타났다가","오로라가 나타나겠으며","오로라가 나타나겠습니다"
19,"ui/icon/060000/060251.tex","어둠","어둡겠습니다","어둡겠으며","어두워졌다가","어두워지겠으며","어두워지겠습니다"
20,"ui/icon/060000/060255.tex","투기","투기를 띠겠습니다","투기를 띠겠으며","투기를 띠다가","투기를 띠겠으며","투기를 띠겠습니다"
21,"ui/icon/060000/060203.tex","흐림","흐리겠습니다","흐리겠으며","흐렸다가","흐려지겠으며","흐려지겠습니다"
22,"ui/icon/060000/060259.tex","뇌운","뇌운이 발생하겠습니다","뇌운이 발생하겠으며","뇌운이 발생했다가","뇌운이 발생하겠으며","뇌운이 발생하겠습니다"
23,"ui/icon/060000/060258.tex","파랑","파랑이 일겠습니다","파랑이 일겠으며","파랑이 일다가","파랑이 일겠으며","파랑이 일겠습니다"
24,"ui/icon/060000/060258.tex","파랑","파랑이 일겠습니다","파랑이 일겠으며","파랑이 일다가","파랑이 일겠으며","파랑이 일겠습니다"
25,"ui/icon/060000/060257.tex","먹구름","먹구름이 끼겠습니다","먹구름이 끼겠으며","먹구름이 꼈다가","먹구름이 끼겠으며","먹구름이 끼겠습니다"
26,"ui/icon/060000/060252.tex","작열파","작열파가 발생하겠습니다","작열파가 발생하겠으며","작열파가 발생했다가","작열파가 발생하겠으며","작열파가 발생하겠습니다"
27,"ui/icon/060000/060256.tex","요마의 안개","요마의 안개가 끼겠습니다","요마의 안개가 끼겠으며","요마의 안개가 꼈다가","요마의 안개가 끼겠으며","요마의 안개가 끼겠습니다"
28,"ui/icon/060000/060253.tex","폭풍","폭풍이 불겠습니다","폭풍이 불겠으며","폭풍이 불었다가","폭풍이 불겠으며","폭풍이 불겠습니다"
29,"ui/icon/060000/060254.tex","분화","화산이 분화하겠습니다","화산이 분화하겠으며","화산이 분화했다가","화산이 분화하겠으며","화산이 분화하겠습니다"
30,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
31,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
32,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
33,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
34,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
35,"ui/icon/060000/060260.tex","극광","극광이 나타나겠습니다","극광이 나타나겠으며","극광이 나타났다가","극광이 나타나겠으며","극광이 나타나겠습니다"
36,"ui/icon/060000/060261.tex","용핵","용핵이 진동하겠습니다","용핵이 진동하겠으며","용핵이 진동하다가","용핵이 진동하겠으며","용핵이 진동하겠습니다"
37,"ui/icon/060000/060261.tex","용핵","용핵이 진동하겠습니다","용핵이 진동하겠으며","용핵이 진동하다가","용핵이 진동하겠으며","용핵이 진동하겠습니다"
38,"ui/icon/060000/060261.tex","용핵","용핵이 진동하겠습니다","용핵이 진동하겠으며","용핵이 진동하다가","용핵이 진동하겠으며","용핵이 진동하겠습니다"
39,"ui/icon/060000/060261.tex","용핵","용핵이 진동하겠습니다","용핵이 진동하겠으며","용핵이 진동하다가","용핵이 진동하겠으며","용핵이 진동하겠습니다"
40,"ui/icon/060000/060262.tex","떼구름","떼구름이 끼겠습니다","떼구름이 끼겠으며","떼구름이 끼었다가","떼구름이 끼겠으며","떼구름이 끼겠습니다"
41,"ui/icon/060000/060262.tex","떼구름","떼구름이 끼겠습니다","떼구름이 끼겠으며","떼구름이 끼었다가","떼구름이 끼겠으며","떼구름이 끼겠습니다"
42,"ui/icon/060000/060262.tex","떼구름","떼구름이 끼겠습니다","떼구름이 끼겠으며","떼구름이 끼었다가","떼구름이 끼겠으며","떼구름이 끼겠습니다"
43,"ui/icon/060000/060262.tex","떼구름","떼구름이 끼겠습니다","떼구름이 끼겠으며","떼구름이 끼었다가","떼구름이 끼겠으며","떼구름이 끼겠습니다"
44,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
45,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
46,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
47,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
48,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
49,"ui/icon/060000/060219.tex","그림자바람","그림자바람이 불겠습니다","그림자바람이 불겠으며","그림자바람이 불다가","그림자바람이 불겠으며","그림자바람이 불겠습니다"
50,"ui/icon/060000/060220.tex","방전","방전이 일어나겠습니다","방전이 일어나겠으며","방전이 일다가","방전이 일어나겠으며","방전이 일어나겠습니다"
51,"ui/icon/060000/060263.tex","연무","연무가 끼겠습니다","연무가 끼겠으며","연무가 끼었다가","연무가 끼겠으며","연무가 끼겠습니다"
52,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
53,"ui/icon/060000/060226.tex","야수번개","야수번개가 치겠습니다","야수번개가 치겠으며","야수번개가 치다가","야수번개가 치겠으며","야수번개가 치겠습니다"
54,"ui/icon/060000/060227.tex","번개파동","번개파동이 발생하겠습니다","번개파동이 발생하겠으며","번개파동이 발생하다가","번개파동이 발생하겠으며","번개파동이 발생하겠습니다"
55,"ui/icon/060000/060226.tex","야수번개","야수번개가 치겠습니다","야수번개가 치겠으며","야수번개가 치다가","야수번개가 치겠으며","야수번개가 치겠습니다"
56,"ui/icon/060000/060264.tex","섭리","섭리를 비추겠습니다","섭리를 비추겠으며","섭리를 비추다가","섭리를 비추겠으며","섭리를 비추겠습니다"
57,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
58,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
59,,"","","","","",""
60,"ui/icon/060000/060265.tex","신비","신비롭겠습니다","신비롭겠으며","신비롭겠다가","신비롭겠으며","신비로워지겠습니다"
61,"ui/icon/060000/060265.tex","신비","신비롭겠습니다","신비롭겠으며","신비롭겠다가","신비롭겠으며","신비로워지겠습니다"
62,"ui/icon/060000/060207.tex","비","비가 내리겠습니다","비가 내리겠으며","비가 내렸다가","비가 내리겠으며","비가 내리겠습니다"
63,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
64,"ui/icon/060000/060207.tex","비","비가 내리겠습니다","비가 내리겠으며","비가 내렸다가","비가 내리겠으며","비가 내리겠습니다"
65,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
66,"ui/icon/060000/060266.tex","사룡의 원념","사룡의 원념을 띠겠습니다","사룡의 원념을 띠겠으며","사룡의 원념을 띠었다가","사룡의 원념을 띠겠으며","사룡의 원념을 띠겠습니다"
67,"ui/icon/060000/060266.tex","사룡의 원념","사룡의 원념을 띠겠습니다","사룡의 원념을 띠겠으며","사룡의 원념을 띠었다가","사룡의 원념을 띠겠으며","사룡의 원념을 띠겠습니다"
68,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
69,"ui/icon/060000/060267.tex","조화","조화롭겠습니다","조화롭겠으며","조화롭다가","조화로워지겠으며","조화로워지겠습니다"
70,"ui/icon/060000/060267.tex","조화","조화롭겠습니다","조화롭겠으며","조화롭다가","조화로워지겠으며","조화로워지겠습니다"
71,"ui/icon/060000/060268.tex","시류","시류가 흐르겠습니다","시류가 흐르겠으며","시류가 흐르다가","시류가 흐르겠으며","시류가 흐르겠습니다"
72,"ui/icon/060000/060268.tex","시류","시류가 흐르겠습니다","시류가 흐르겠으며","시류가 흐르다가","시류가 흐르겠으며","시류가 흐르겠습니다"
73,"ui/icon/060000/060268.tex","시류","시류가 흐르겠습니다","시류가 흐르겠으며","시류가 흐르다가","시류가 흐르겠으며","시류가 흐르겠습니다"
74,"ui/icon/060000/060269.tex","귀기","귀기가 서리겠습니다","귀기가 서리겠으며","귀기가 서렸다가","귀기가 서리겠으며","귀기가 서리겠습니다"
75,"ui/icon/060000/060269.tex","귀기","귀기가 서리겠습니다","귀기가 서리겠으며","귀기가 서렸다가","귀기가 서리겠으며","귀기가 서리겠습니다"
76,"ui/icon/060000/060269.tex","귀기","귀기가 서리겠습니다","귀기가 서리겠으며","귀기가 서렸다가","귀기가 서리겠으며","귀기가 서리겠습니다"
77,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
78,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
79,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
80,"ui/icon/060000/060271.tex","호우","호우가 내리겠습니다","호우가 내리겠으며","호우가 내리다가","호우가 내리겠으며","호우가 내리겠습니다"
81,"ui/icon/060000/060271.tex","호우","호우가 내리겠습니다","호우가 내리겠으며","호우가 내리다가","호우가 내리겠으며","호우가 내리겠습니다"
82,"ui/icon/060000/060270.tex","미혹","미혹에 빠지겠습니다","미혹에 빠지겠으며","미혹에 빠졌다가","미혹에 빠지겠으며","미혹에 빠지겠습니다"
83,"ui/icon/060000/060270.tex","미혹","미혹에 빠지겠습니다","미혹에 빠지겠으며","미혹에 빠졌다가","미혹에 빠지겠으며","미혹에 빠지겠습니다"
84,"ui/icon/060000/060272.tex","신룡의 폭풍","신룡의 폭풍이 치겠습니다","신룡의 폭풍이 치겠으며","신룡의 폭풍이 치다가","신룡의 폭풍이 치겠으며","신룡의 폭풍이 치겠습니다"
85,"ui/icon/060000/060272.tex","신룡의 폭풍","신룡의 폭풍이 치겠습니다","신룡의 폭풍이 치겠으며","신룡의 폭풍이 치다가","신룡의 폭풍이 치겠으며","신룡의 폭풍이 치겠습니다"
86,"ui/icon/060000/060271.tex","호우","호우가 내리겠습니다","호우가 내리겠으며","호우가 내리다가","호우가 내리겠으며","호우가 내리겠습니다"
87,"ui/icon/060000/060273.tex","전선뇌우","전선뇌우가 치겠습니다","전선뇌우가 치겠으며","전선뇌우가 치다가","전선뇌우가 치겠으며","전선뇌우가 치겠습니다"
88,"ui/icon/060000/060209.tex","번개","번개가 치겠습니다","번개가 치겠으며","번개가 쳤다가","번개가 치겠으며","번개가 치겠습니다"
89,"ui/icon/060000/060274.tex","차원","차원의 틈이 벌어지겠습니다","차원의 틈이 벌어지겠으며","차원의 틈이 벌어졌다가","차원의 틈이 벌어지겠으며","차원의 틈이 벌어지겠습니다"
90,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
91,"ui/icon/060000/060201.tex","쾌청","쾌청하겠습니다","쾌청하겠으며","쾌청했다가","쾌청해지겠으며","쾌청해지겠습니다"
92,"ui/icon/060000/060275.tex","하얀 폭풍","하얀 폭풍이 치겠습니다","하얀 폭풍이 치겠으며","하얀 폭풍이 치다가","하얀 폭풍이 치겠으며","하얀 폭풍이 치겠습니다"
93,"ui/icon/060000/060275.tex","하얀 폭풍","하얀 폭풍이 치겠습니다","하얀 폭풍이 치겠으며","하얀 폭풍이 치다가","하얀 폭풍이 치겠으며","하얀 폭풍이 치겠습니다"
94,"ui/icon/060000/060275.tex","하얀 폭풍","하얀 폭풍이 치겠습니다","하얀 폭풍이 치겠으며","하얀 폭풍이 치다가","하얀 폭풍이 치겠으며","하얀 폭풍이 치겠습니다"
95,"ui/icon/060000/060277.tex","환상","환상이 펼쳐지겠습니다","환상이 펼쳐지겠으며","환상이 펼쳐지다가","환상이 펼쳐지겠으며","환상이 펼쳐지겠습니다"
96,"ui/icon/060000/060275.tex","하얀 폭풍","하얀 폭풍이 치겠습니다","하얀 폭풍이 치겠으며","하얀 폭풍이 치다가","하얀 폭풍이 치겠으며","하얀 폭풍이 치겠습니다"
97,"ui/icon/060000/060276.tex","달빛","달빛이 비치겠습니다","달빛이 비치겠으며","달빛이 비치다가","달빛이 비치겠으며","달빛이 비치겠습니다"
98,"ui/icon/060000/060276.tex","달빛","달빛이 비치겠습니다","달빛이 비치겠으며","달빛이 비치다가","달빛이 비치겠으며","달빛이 비치겠습니다"
99,"ui/icon/060000/060276.tex","달빛","달빛이 비치겠습니다","달빛이 비치겠으며","달빛이 비치다가","달빛이 비치겠으며","달빛이 비치겠습니다"
100,"ui/icon/060000/060276.tex","달빛","달빛이 비치겠습니다","달빛이 비치겠으며","달빛이 비치다가","달빛이 비치겠으며","달빛이 비치겠습니다"
101,"ui/icon/060000/060293.tex","붉은 달","붉은 달이 뜨겠습니다","붉은 달이 뜨겠으며","붉은 달이 떴다가","붉은 달이 뜨겠으며","붉은 달이 뜨겠습니다"
102,"ui/icon/060000/060278.tex","붉은 불꽃 ","붉은 불꽃이 피어나겠습니다","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나다가","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나겠습니다"
103,"ui/icon/060000/060278.tex","붉은 불꽃 ","붉은 불꽃이 피어나겠습니다","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나다가","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나겠습니다"
104,"ui/icon/060000/060278.tex","붉은 불꽃 ","붉은 불꽃이 피어나겠습니다","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나다가","붉은 불꽃이 피어나겠으며","붉은 불꽃이 피어나겠습니다"
105,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
106,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
107,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
108,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
