key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Weather[0],Rate[0],Weather[1],Rate[1],Weather[2],Rate[2],Weather[3],Rate[3],Weather[4],Rate[4],Weather[5],Rate[5],Weather[6],Rate[6],Weather[7],Rate[7]
int32,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte,Weather,byte
0,"맑음",100,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
1,"비",5,"비",15,"안개",10,"흐림",10,"맑음",15,"쾌청",30,"맑음",15,"●설명용 날씨",0
2,"비",5,"비",15,"안개",10,"흐림",10,"맑음",15,"쾌청",30,"맑음",15,"●설명용 날씨",0
3,"번개",5,"비",15,"안개",10,"흐림",10,"맑음",15,"쾌청",30,"맑음",15,"●설명용 날씨",0
4,"번개",5,"비",15,"안개",10,"흐림",10,"맑음",15,"쾌청",30,"맑음",15,"●설명용 날씨",0
5,"안개",5,"뇌우",5,"번개",15,"안개",5,"흐림",10,"맑음",30,"쾌청",30,"●설명용 날씨",0
6,"안개",5,"폭우",5,"비",15,"안개",5,"흐림",10,"맑음",30,"쾌청",30,"●설명용 날씨",0
7,"쾌청",40,"맑음",20,"흐림",25,"안개",10,"비",5,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
8,"쾌청",40,"맑음",20,"흐림",25,"안개",10,"비",5,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
9,"쾌청",40,"맑음",20,"흐림",25,"안개",10,"비",5,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
10,"모래먼지",15,"쾌청",40,"맑음",20,"흐림",10,"안개",10,"비",5,"●설명용 날씨",0,"●설명용 날씨",0
11,"쾌청",40,"맑음",20,"흐림",10,"안개",10,"비",5,"폭우",15,"●설명용 날씨",0,"●설명용 날씨",0
12,"작열파",20,"쾌청",40,"맑음",20,"흐림",10,"안개",10,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
13,"쾌청",5,"맑음",15,"흐림",30,"안개",50,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
14,"흐림",20,"쾌청",30,"맑음",30,"안개",10,"비",10,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
15,"흐림",20,"쾌청",30,"맑음",30,"안개",10,"비",10,"●설명용 날씨",0,"●설명용 날씨",0,"●설명용 날씨",0
16,"흐림",20,"쾌청",30,"맑음",20,"바람",10,"안개",10,"비",10,"●설명용 날씨",0,"●설명용 날씨",0
17,"흐림",20,"쾌청",30,"맑음",20,"바람",10,"안개",10,"비",10,"●설명용 날씨",0,"●설명용 날씨",0
18,"안개",5,"쾌청",45,"맑음",30,"흐림",10,"비",5,"폭우",5,"●설명용 날씨",0,"●설명용 날씨",0
19,"안개",10,"쾌청",30,"맑음",20,"흐림",20,"바람",10,"폭풍",10,"●설명용 날씨",0,"●설명용 날씨",0
20,"쾌청",30,"맑음",20,"흐림",20,"안개",10,"번개",10,"뇌우",10,"●설명용 날씨",0,"●설명용 날씨",0
